,P_count,P_count_conf,I_count,I_count_conf,N_count,N_count_conf,P_fraction,P_fraction_conf,I_fraction,I_fraction_conf,N_fraction,N_fraction_conf,radius,radius_conf,roughness,roughness_conf,velocity,velocity_conf
790,4.2,0.7937395038676099,241.14,13.88853399941117,573.58,72.64711040168908,0.005566941187792227,0.001361438471201984,0.31114079099517217,0.013533972852290334,0.6832922678170358,0.013994036811195642,8.128383121119803,0.33133354405100607,1.2811621742372814,0.07471121014617685,,
791,4.56,0.8373765967591882,241.22,14.021801095836437,575.42,72.6132591316159,0.006154544729052667,0.0013561797745808319,0.31000053084051443,0.01320955911139999,0.683844924430433,0.013873694860421988,8.139261197859136,0.33146658681314206,1.2908551201128775,0.0732612958527915,,
792,3.2,0.6652460597403038,242.7,13.986574282503918,576.9,72.62676260222534,0.0038830123865156805,0.0007149101289237646,0.3116482024721446,0.013741985523694196,0.6844687851413397,0.01373580805238275,8.154100745991226,0.33116777537286873,1.2949109524978655,0.07567998675381339,,
793,4.36,0.70725317447149,242.66,14.071829247855446,577.96,72.76210529299438,0.0055868525838386526,0.0008337200837761278,0.3105433797318179,0.013495876206061424,0.6838697676843434,0.013788740117008405,8.163678534608069,0.3272293288908257,1.2797612080565997,0.07309142676208634,,
794,4.12,0.631205211638814,242.86,14.098165418691893,580.06,72.89961533097963,0.005364684776893669,0.0009415388974163281,0.3098282497685983,0.013238688860142959,0.6848070654545079,0.01357755541409748,8.170396069750424,0.330108158365927,1.2896387133006624,0.07529536061031457,,
795,4.6,0.7375435987112896,243.04,13.828319925023429,581.7,73.31010509336348,0.005847077137101992,0.000987672923901688,0.3095854960082569,0.013571425307856889,0.6845674268546413,0.013750637049629817,8.196170293517344,0.3292345277859468,1.2846003807577904,0.07523536609148378,,
796,3.92,0.8513532493624486,244.08,13.767165010821943,583.3,73.40935028618628,0.004648347681346727,0.0007954116793140519,0.3103878900645908,0.013746476508738423,0.6849637622540626,0.013628046601442097,8.207487358360591,0.3310394639093592,1.2956956524455063,0.0769821110575967,,
797,4.48,0.8484604334911557,244.1,13.841680418215125,584.96,73.63120727917477,0.005520514107179958,0.0010299329541352499,0.30936746385773256,0.013495390359543185,0.6851120220350876,0.013644065172537237,8.222127528750319,0.33211178632212196,1.2927797739803535,0.0761424886729749,,
798,4.4,0.8800378173692311,244.82,14.135901558910204,586.52,73.59107030385684,0.005468385655234978,0.0011283134989274737,0.3090831121511108,0.013396437594453636,0.6854485021936544,0.013485811099303512,8.230619447521713,0.3344824038311421,1.3040825217413983,0.07692806289878015,,
799,4.8,0.84439384175869,245.22,14.230225242461904,588.12,73.66314474429663,0.005874216112312838,0.0010571893516709942,0.30870249767617075,0.013429674429113341,0.6854232862115164,0.013468813610780733,8.240195644354513,0.3337578788720569,1.3098549925670973,0.07848587882146978,,
800,4.48,0.8769592848017514,246.96,14.350836784968322,588.94,73.65621397957405,0.00546043933454001,0.0009840563783457344,0.30991269338325855,0.013284514563704632,0.6846268672822018,0.013429651739072186,8.243018733897394,0.3303168047706343,1.3044383690729102,0.0797061431017511,,
801,3.96,0.7559809182777036,247.9,14.517898746030712,590.5,73.77577990207898,0.004959257903933061,0.0009913017198392375,0.310138111345637,0.013171138190154821,0.6849026307504298,0.013452571762503546,8.242558771565427,0.32880622440878315,1.3103693372967968,0.08014675064418011,,
802,4.04,0.7141719322404093,247.88,14.749896884358208,592.46,73.76188514042194,0.005208715592635253,0.0010989390617488772,0.30899985292559745,0.01292145917535425,0.6857914314817671,0.013370638500651262,8.261109167305117,0.33117555715892855,1.2991600782892858,0.07749396681039952,,
803,4.28,0.7601970607677981,248.46,14.722740362744974,593.78,73.80978586428225,0.005307534526647239,0.0010702235389864203,0.3089489815168401,0.01294858855302574,0.6857434839565127,0.013256672227243492,8.276595579237782,0.3340145697528583,1.2978929491333233,0.07475596656530942,,
804,4.28,0.873095854531448,248.8,14.75618383187198,595.58,73.9213076775242,0.005151899252478763,0.0010574824860189761,0.30867911302368817,0.013143745497131043,0.686168987723833,0.013234835134253914,8.2814072191715,0.3311715383873805,1.3074534466912069,0.07758396640585499,,
805,4.2,0.7291621493193403,249.4,14.898681863842855,597.16,73.98651573888854,0.0051994423148267865,0.000895978517780085,0.30851511485274563,0.013066888791358313,0.6862854428324277,0.013190919759371084,8.285250106848338,0.3311901551125528,1.2927432651275075,0.0791861980406401,,
806,4.64,0.779597237552828,250.06,14.841785743124039,598.38,74.04714793710288,0.005707031607107146,0.0009680273480052689,0.308518957173369,0.013080570188581376,0.6857740112195242,0.013335565502414482,8.299042270599575,0.331385886498607,1.3007612517762228,0.0763385656647074,,
807,4.52,0.9395578466491564,250.48,14.669312523332508,600.34,74.35847597026718,0.005408421479751079,0.0010570478164002247,0.308346688896481,0.013094751400246744,0.6862448896237681,0.01316034750173728,8.329700389268217,0.3277531337195538,1.3004995749441863,0.07810293992111994,,
808,4.4,0.8659563037474812,250.6,14.799440724567939,602.54,74.41354099751469,0.0053905580239223625,0.001101524044431136,0.3075455223272099,0.012987532480130607,0.6870639196488679,0.0131788163316723,8.328084252155787,0.3318186735020434,1.3172201512192994,0.0791733560045263,,
809,4.76,0.8792691947293502,251.0,14.718229763120291,604.16,74.56374518799869,0.0056671484541948045,0.0010492223436172731,0.30734412975180925,0.013064600770853156,0.6869887217939962,0.013158093943928273,8.342104916531106,0.32824522159790415,1.3029733324797932,0.07577906111866212,,
810,4.92,0.9615433194609588,251.56,14.617990632258588,605.9,74.76678901009457,0.00558251594866721,0.001044640707441943,0.30743231785227587,0.01332808299029474,0.6869851661990569,0.01312759014732346,8.336004715008663,0.3342127519891295,1.3182922474095151,0.07958203309046728,,
811,4.72,0.8571095911258954,252.32,14.71900650734281,607.7,74.9512662083837,0.005502494535824838,0.000999444992247499,0.3072699080651785,0.012990418833209706,0.6872275973989965,0.013055884177438422,8.358162270552837,0.3337739015469379,1.3110885542672712,0.0801901189693393,,
812,4.24,0.7240018209921851,252.56,14.89890464312058,610.06,74.99347092570659,0.004795298716179193,0.0007526216863508485,0.30663850239209123,0.01281974201674638,0.6885661988917294,0.012750762977476043,8.363571433182477,0.3342963216367697,1.3000012464936892,0.08121973491331984,,
813,4.24,0.6980682465203527,252.54,15.007223272437841,612.2,75.17525768283073,0.0050268709753055465,0.0007912746880379588,0.30574809743310366,0.012770316149629216,0.6892250315915912,0.012846648239149987,8.377664998174255,0.33268941675572794,1.3092416659843875,0.08075515353886074,,
814,4.84,0.7688797960669793,252.18,14.95249457459189,614.38,75.43088232401368,0.005806833014192128,0.0009450955769783298,0.3044283997338421,0.012673406433483832,0.689764767251966,0.012844644032723783,8.390634741289052,0.33330450801274564,1.3086474646903579,0.08006860540938139,,
815,4.2,0.6393326520677635,252.76,15.038354401888524,616.54,75.43469821633012,0.0050377082602567355,0.0007541379480821594,0.3042113023308597,0.01246915098875755,0.6907509894088838,0.012698039521745535,8.401272197718765,0.3314965460102161,1.297115535823713,0.0760694758534396,,
816,4.44,0.7784136977212055,252.94,15.180921601958165,618.34,75.5805401461302,0.0055406811066911164,0.00123932120022743,0.30326464809467274,0.012163855864957874,0.6911946707986363,0.012501458189826864,8.40601146901623,0.3285781639368281,1.2957576947273268,0.07659816126998441,,
817,4.0,0.8370829349592547,253.08,14.96463170396118,620.64,75.78567052954536,0.0047067635258179535,0.0010035570104351623,0.3030380935968653,0.01223342421342037,0.6922551428773169,0.012481211198127085,8.427424356145497,0.3276422500755441,1.2893937061916747,0.07611771896833128,,
818,5.24,0.8362748332934573,252.82,14.962151660880863,622.28,76.06685084299993,0.006294026123604298,0.0011692313418152063,0.30176063933031805,0.01225518277373243,0.6919453345460778,0.012466733802792986,8.427031899450109,0.32529934946951583,1.3021640864178214,0.0785687317630237,,
819,4.36,0.7893910645554583,254.04,14.862328343459511,624.12,76.30828790334114,0.0050857438815033055,0.0008736405186399509,0.30264141404937844,0.012325719936660326,0.6922728420691184,0.012398812339501717,8.439314606606613,0.3276270007653216,1.2879591878295722,0.07792103280607449,,
820,3.32,0.7650329687013494,255.46,15.048226992865304,625.4,76.27669324767557,0.0039335486422200595,0.0010100954952236235,0.30356098573649937,0.012166416120523707,0.6925054656212807,0.01243172110016892,8.455197297198024,0.32606089109136177,1.2987362019581645,0.0767750433086016,,
821,4.6,0.9358871726869645,254.6,15.202829420867678,627.28,76.21312833502637,0.005247479836717833,0.0011318840059049544,0.3016380180308381,0.012264458571628322,0.693114502132444,0.012267116953544273,8.472021382013388,0.32809820113683924,1.2992795852264352,0.07858798971780658,,
822,3.96,0.8479531760657539,254.86,15.058108418151331,629.64,76.53323431616359,0.004508455239741463,0.000891461394984723,0.30142751874792034,0.012293828934301154,0.6940640260123384,0.01230782689037203,8.485265364223824,0.3275510338691042,1.2936014767140327,0.07876250930055899,,
