,P_count,P_count_conf,I_count,I_count_conf,N_count,N_count_conf,P_fraction,P_fraction_conf,I_fraction,I_fraction_conf,N_fraction,N_fraction_conf,radius,radius_conf,roughness,roughness_conf
94,0.52,0.3290932803932646,19.68,3.4737658993087024,0.6,1.1641806045455318,0.0211028971028971,0.013628586554212535,0.9734425574425575,0.017184284831183436,0.005454545454545454,0.010583460041323024,0.7959015750783673,0.13395137470068205,0.40801948845672376,0.0769946721295449
95,0.32,0.23151242558445972,20.04,3.5148915586117297,0.6,1.1641806045455318,0.011923587049637469,0.009889171539019321,0.9826710075449573,0.014589666646309426,0.005405405405405406,0.010488113554464254,0.8120236147147204,0.13512309532927858,0.392424928001367,0.07903326279372752
96,0.68,0.3058604963050966,20.02,3.577519228068522,0.6,1.1641806045455318,0.03656815696380913,0.018263621982453345,0.9580747001790479,0.020644659868967224,0.005357142857142857,0.010394469683442232,0.8096943458176604,0.1352748152661419,0.40342771411325384,0.07796652002525013
97,0.8,0.350615458871967,20.3,3.5632131566887755,0.6,1.1641806045455318,0.03256055104596454,0.014787438137114474,0.962129714440761,0.017682867925465213,0.005309734513274337,0.010302483226066647,0.8222969259150348,0.13138253065250888,0.3989364382774566,0.07718148939071474
98,0.28,0.19235979621532134,20.96,3.69477831930415,0.6,1.1641806045455318,0.01547625101400845,0.013457979194620407,0.9792605910912547,0.016943335003055834,0.005263157894736842,0.010212110566188887,0.8238272532531571,0.1313038166673519,0.4121325789563804,0.07616601387183648
99,0.48,0.23676280789009077,21.0,3.6868845167702227,0.6,1.1641806045455318,0.01856190461767342,0.010486811430823296,0.9762207040779787,0.01454359348934511,0.005217391304347826,0.010123309604743743,0.8397024440006866,0.13638533726667035,0.39158819039449855,0.07491505965652255
100,0.52,0.2672508694092501,21.22,3.739149899535989,0.6,1.1641806045455318,0.019234854226233538,0.010696693864241573,0.9755927319806628,0.014613586521202778,0.005172413793103448,0.010036039694358036,0.8371215411413092,0.13514455301576248,0.4049597335302409,0.07438386785581802
101,0.36,0.24011399959186058,21.54,3.77755005642546,0.62,1.2029866246970504,0.012956077256077255,0.008935916482787335,0.9817447774447775,0.013745483086887817,0.0052991452991453,0.010281936963222644,0.8482125534057506,0.13735576596701268,0.3863594813246855,0.07400076726142533
102,0.6,0.27718585822512654,21.6,3.7949163469041043,0.62,1.2029866246970504,0.02274670441136097,0.012195565871416899,0.9719990583005034,0.015747537715195575,0.005254237288135594,0.010194801904212307,0.8444204310398518,0.13969076694698657,0.4134617959046847,0.0724774255529263
103,0.6,0.33721115046807093,21.9,3.8528834293292595,0.62,1.2029866246970504,0.019196987790774823,0.01167977895847723,0.9755929281756117,0.015384996597154383,0.005210084033613446,0.010109131299975206,0.8609227596662837,0.1417886430524535,0.4058760194330553,0.0741361521561533
104,0.52,0.24316641873416647,22.1,3.781631944015704,0.76,1.4746287657576755,0.019425385075463975,0.010602804078219048,0.9742412815912027,0.01614755964249855,0.006333333333333333,0.012288573047980625,0.8739473815689298,0.14385593651676204,0.4065136879743197,0.07471421058859004
105,0.68,0.377787140066996,22.28,3.820759470471806,0.76,1.4746287657576755,0.02264809957255503,0.01294136252865155,0.9711223922307236,0.017980064603101184,0.006229508196721312,0.012087121030800596,0.8915167099501698,0.14294680238470828,0.39174749711641027,0.07683787487571697
106,0.52,0.2893374279280162,22.7,3.9470526522963945,0.76,1.4746287657576755,0.018747581531407514,0.011328417184924873,0.9750735566799746,0.016422663489360743,0.006178861788617886,0.011988851754127445,0.8780042226271014,0.14203125553183443,0.42390817365442485,0.07662482157430371
107,0.44,0.2780714383031816,23.0,4.028264936669384,0.76,1.4746287657576755,0.02107476636793525,0.014827007440104217,0.9727962013740004,0.01888401034855248,0.006129032258064516,0.011892167465787699,0.8915618026124238,0.14429388337356167,0.4042409586669441,0.0761975165505728
108,0.36,0.2644765638010295,23.26,4.002936171961776,0.76,1.4746287657576755,0.01196973299249011,0.009355207944227718,0.9819985209757638,0.015582665349546361,0.006031746031746031,0.011703402902838677,0.8925174542964435,0.1434592737285148,0.41690630418518254,0.07302844146050944
109,0.52,0.26725086940925,23.36,4.077840174994601,0.76,1.4746287657576755,0.020133168493930927,0.011159321372962397,0.9738825795375651,0.015978709848303244,0.005984251968503937,0.01161125012407616,0.907775079883403,0.14700359835068227,0.4258412923377909,0.07114239356126917
110,0.56,0.3143830224423705,23.6,4.140009971002485,0.76,1.4746287657576755,0.024192585659724392,0.015588741866210301,0.9698699143402757,0.019181104172912435,0.0059375,0.01152053723248184,0.9143468513862777,0.1459512307147179,0.4230367986057502,0.07092256983430138
111,0.52,0.26725086940925,23.9,4.154182894384887,0.76,1.4746287657576755,0.01978645846662193,0.01112822779569683,0.974322068665161,0.01583140666571602,0.005891472868217055,0.011431230742307568,0.9191581675113961,0.1477384083826891,0.4269109164087341,0.07290089001590092
